dorsal,nombre,club,posicion,minutos,goles,asistencias
10,Lionel Messi,Inter Miami,Delantero,1250,14,9
7,Cristiano Ronaldo,Al Nassr,Delantero,1300,16,3
8,Andres Iniesta,Emirates Club,Mediocampista,890,2,8
4,Sergio Ramos,Sevilla,Defensa,1020,3,1
1,Thibaut Courtois,Real Madrid,Portero,900,0,0
9,Erling Haaland,Manchester City,Delantero,1180,18,4
17,Kevin De Bruyne,Manchester City,Mediocampista,940,4,12
5,Jude Bellingham,Real Madrid,Mediocampista,1150,11,7
2,Achraf Hakimi,PSG,Defensa,1080,2,5
11,Vinicius Jr,Real Madrid,Delantero,1120,10,6
